customer_id,signup_date,last_order_date,age,region,state,channel,annual_income,orders,total_spent,email,newsletter_opt_in
10075,2023-10-03,2024-01-08,52,Southeast,Florida,In-Store,"-$42,000",2,226.19,customer10075@harborline.com,No
10076,2025-02-19,2026-08-31,43,Midwest,IL,In-Store,"$45,407",8,"1,592.65",customer10076@harborline.com,Yes
10078,2024-06-30,2025-12-18,25,Midwest,IL,Online,"$71,776",8,"1,564.06",customer10078@harborline.com,Y
10082,2021-08-30,2023-10-14,36,Southeast,GA,Online,"$34,091",6,849.84,customer10082@harborline.com,Yes
10088,2022-05-04,2022-06-09,55,Southeast,NC,Online,"$36,076",2,"1,948,220.00",customer10088@harborline.com,Yes
10090,2020-12-23,2020-10-21,55,Midwest,IL,Online,"$103,697",7,"4,410.00",customer10090@harborline.com,Yes
10090,2020-12-23,2020-10-21,55,Midwest,IL,Phone,"$103,697",7,"2,158.12",customer10090@harborline.com,Yes
10091,2019-03-11,2019-06-23,55,Southeast,VA,Online,"$90,004",14,"3,385.79",customer10091@harborline.com,Yes
10092,2023-03-29,09/09/2024,56,Southeast,Florida,In-Store,"$40,322",3,612.47,customer10092@harborline.com,No
10093,2021-03-25,2022-07-09,43,Northeast,PA,Online,"$53,105",5,750.29,customer10093@harborline.com,Yes
10095,2022-12-17,2025-03-30,25,Northeast,NJ,Online,"$40,411",4,565.35,customer10095@harborline.com,No
10099,11/27/2021,2023-04-22,57,Southeast,SC,In Store,"$111,158",11,"3,463.56",customer10099@harborline.com,No
10103,10/05/2024,2025-04-22,36,NORTHEAST,MI,Online,"$31,962",1,127.01,customer10103@harborline.com,No
10105,2022-02-16,2023-02-16,43,Southeast,VA,Online,"$61,366",9,"1,287.78",customer10105@harborline.com,Yes
10106,2023-10-07,2025-05-15,49,Southeast,GA,Online,"$111,954",10,0.00,customer10106@harborline.com,Yes
10107,2025-03-09,2025-05-18,60,Northeast,NY,Online,"$68,403",6,"1,553.96",customer10107@harborline.com,Yes
10109,01/26/2023,2024-07-22,52,Midwest,WI,Online,"$57,521",-2,314.39,customer10109@harborline.com,No
10110,12-Jun-2021,2023-06-18,42,Midwest,WI,In-Store,"$45,796",4,722.69,customer10110@harborline.com,Yes
10111,2019-12-23,2022-05-25,44,Midwest,MI,In-Store,"$99,392",10,"2,203.37",customer10111@harborline.com,No
10112,2024-09-13,2025-10-29,52,Northeast,NJ,In-Store,"$86,142",6,"1,247.91",customer10112@harborline.com,Yes
10116,2021-04-27,15-Oct-2022,40,Southeast,FL,In-Store,"$71,684",7,"2,105.56",customer10116@harborline.com,Yes
10117,2019-08-07,03/01/2021,31,Midwest,WI,Online,"$47,198",5,824.69,customer10117@harborline.com,T
10119,2020-11-25,2021-06-05,28,Northeast,PA,Online,"$31,382",5,576.89,customer10119@harborline.com,Yes
10120,2022-02-16,2023-05-12,45,Southeast,GA,In-Store,"$96,074",8,"3,443.29",customer10120@harborline.com,No
10126,09/04/2022,2024-08-30,43,Midwest,WI,In-Store,"$36,994",1,91.19,customer10126@harborline.com,Yes
10126,09/04/2022,2024-08-30,43,Midwest,WI,In-Store,"$36,994",1,91.19,customer10126@harborline.com,Yes
10127,2021-09-01,2023-04-30,31,Northeast,NJ,Online,-999,5,727.60,customer10127@harborline.com,No
10128,2021-08-12,2023-05-26,20,Midwest,MN,Online,"$30,582",4,512.61,customer10128@harborline.com,No
10129,2022-05-17,2023-07-06,34,Midwest,MI,In-Store,"$32,823",3,263.01,customer10129@harborline.com,No
10130,2020-05-27,2021-05-23,999,Northeast,CT,In-Store,"$63,582",3,472.47,customer10130@harborline.com,Yes
10131,2023-09-28,2026-02-25,27,West,WA,In-Store,"$45,295",2,218.93,customer10131@harborline.com,No
10132,2022-02-25,2024-02-03,30,Northeast,PA,Online,"$65,942",4,709.44,customer10132@harborline.com,No
10133,2020-11-27,2021-04-03,27,Southeast,NC,Online,"$29,222",4,355.02,customer10133@harborline.com,F
10136,2022-02-04,2024-05-27,22,Southeast,FL,Phone,"$27,680",4,383.68,customer10136@harborline.com,Yes
10138,2020-03-30,2022-08-29,0,West,OR,In-Store,"$55,741",3,359.49,customer10138@harborline.com,Yes
10140,2021-08-19,2022-10-26,58,Southeast,GA,Online,"$97,931",6,"1,527.43",customer10140@harborline.com,Yes
10141,2021-09-26,2021-10-28,49,Northeast,MA,Online,"$71,714",8,"1,409.15",customer10141@harborline.com,No
10145,2019-06-17,2020-05-22,30,Northeast ,MN,Online,"$37,380",4,322.05,customer10145@harborline.com,Yes
10146,2022-07-05,2023-12-17,68,West,AZ,Online,"$69,892",12,"1,609.03",customer10146@harborline.com,Yes
10147,2024-09-13,2031-11-02,18,Northeast,NJ,ONLINE,"$33,854",3,516.20,customer10147@harborline.com,No
10148,06-Feb-2024,2025-03-01,45,NE,SC,Online,"$63,741",7,"1,316.57",customer10148@harborline.com,No
10150,2020-03-18,2022-03-08,41,Northeast,NJ,In-Store,"$46,536",3,519.50,customer10150@harborline.com,No
10151,2022-04-27,04/17/2023,29,west,CO,Online,"$26,984",2,199.00,customer10151@harborline.com,No
10152,2020-08-11,2021-09-26,18,Midwest,MI,Online,"$34,241",1,189.94,customer10152@harborline.com,Yes
10153,2021-03-18,2021-10-16,52,Midwest,MN,Phone,"$66,749",8,"1,749.02",customer10153@harborline.com,NO
10158,2024-09-08,2024-11-22,45,Northeast,PA,In-Store,"$40,261",5,716.76,customer10158@harborline.com,Yes
10160,2019-07-03,2021-07-12,16,West,OR,In-Store,"$81,690",7,0.00,customer10160@harborline.com,Yes
10161,2024-03-14,2026-03-21,53,Midwest,MN,online,"$37,079",3,411.08,customer10161@harborline.com,Yes
10162,2025-05-01,2026-07-02,53,MIDWEST,MA,Online,"$39,784",3,295.25,customer10162@harborline.com,No
10163,2024-07-09,2025-01-07,22,Midwest,MN,Online,"$30,576",3,254.85,customer10163@harborline.com,Yes
10164,07/17/2023,2025-10-09,46,Northeast,PA,Web,"$61,891",8,"1,165.28",customer10164@harborline.com,Yes
10165,2021-01-19,2022-05-30,68,,SC,Online,"$99,564",10,"2,609.95",customer10165@harborline.com,Yes
10166,2022-01-13,2022-07-29,43,Northeast,NY,In-Store,"$55,061",4,,customer10166@harborline.com,Yes
10169,2025-03-19,2025-05-01,31,Midwest,OH,Online,"$39,597",5,575.83,customer10169@harborline.com,No
10174,2021-11-24,2023-01-16,44,Midwest,OH,Store,unknown,1,275.33,customer10174@harborline.com,Yes
10176,2021-09-04,2023-03-18,38,Midwest,WI,Phone,"$51,462",3,425.82,customer10176@harborline.com,Yes
10177,06/07/2021,2021-12-22,,Northeast,NJ,In-Store,"$63,498",10,"1,602.81",customer10177@harborline.com,No
10178,2021-03-16,2021-07-20,33,,CT,In-Store,-999,3,492.65,customer10178@harborline.com,No
10181,2021-05-04,2021-09-27,18,Midwest,OH,PHONE,"$55,618",8,"1,080.89",customer10181@harborline.com,No
10182,2024-08-27,2026-02-08,48,Midwest,WI,Online,"$60,039",6,946.44,customer10182@harborline.com,No
10186,2024-09-22,2026-08-31,27,Northeast,NY,Online,"$41,486",4,465.74,customer10186@harborline.com,No
10188,2022-09-05,2023-12-14,22,Midwest,IL,Online,"$25,599",1,99.96,customer10188@harborline.com,0
10194,2019-06-02,2021-06-25,39,Southeast,SC,Phone,"$21,616",1,95.90,customer10194@harborline.com,Yes
10195,2022-05-01,2023-03-10,51,Southeast,VA,Online,"$114,508",6,"1,413.92",customer10195@harborline.com,Yes
10196,2023-11-06,2024-05-02,45,Northeast,PA,Phone,n/a,6,902.15,customer10196@harborline.com,FALSE
10196,2023-11-06,2024-05-02,45,Northeast,PA,In-Store,n/a,6,643.34,customer10196@harborline.com,FALSE
10198,2023-09-08,2024-09-28,23,Southeast,GA,Online,"$23,727",4,350.76,customer10198@harborline.com,Yes
10200,2022-03-18,08/05/2022,33,West,OR,In-Store,"$49,534",5,778.44,customer10200@harborline.com,Yes
10203,08/19/2021,2022-06-18,66,Southeast,NC,In-Store,"$132,262",9,"1,813.21",customer10203@harborline.com,Yes
10204,2022-11-30,2025-03-13,71,Northeast,NJ,In-Store,"$145,554",15,"4,081.17",customer10204 @harborline.com,
10207,10/06/2020,23-Jun-2022,35,Northeast,PA,Online,"$30,083",3,345.26,customer10207@harborline.com,Yes
10208,2019-02-02,2021-06-29,35,Midwest,IL,Online,"$44,112",5,603.72,  customer10208@harborline.com  ,Yes
10210,2020-08-28,2022-02-24,18,Northeast,MA,S,"$31,522",3,338.64,customer10210@harborline.com,Yes
10211,2025-03-20,03/25/2025,39,Midwest,OH,Online,"$104,474",7,"2,730.58",customer10211@harborline.com,Yes
10212,12-Nov-2022,2024-11-09,18,Northeast,CT,Online,"$28,222",2,174.61,customer10212@harborline.com,Yes
10214,2023-03-09,2023-11-17,40,Northeast,PA,In-Store,"$52,028",3,544.84,customer10214@harborline.com,Yes
10216,01-Feb-2019,2020-01-16,35,West,CO,In-Store,"$30,034",2,202.07,customer10216@harborline.com,No
10217,2026-01-09,2026-08-31,54,Southeast,VA,Online,"$53,926",3,376.26,customer10217@harborline.com,No
10218,2025-06-16,31-Aug-2026,26,Midwest,MI,In-Store,"$23,967",2,243.24,customer10218@harborline.com,
10222,2026-02-11,31-Aug-2026,59,Northeast,MA,In-Store,"$112,934",11,"2,593.81",customer10222@harborline.com,No
10223,2021-12-20,2022-11-28,35,Northeast,MA,Online,"$55,114",4,743.61,customer10223@harborline.com,Yes
10228,2021-05-09,2023-03-25,41,Midwest,IL,Online,"$25,425",3,421.70,customer10228@harborline.com,Yes
10230,2022-05-15,2022-08-13,46,Northeast,NY,In-Store,,11,"1,958.53",customer10230@harborline,No
10231,2025-08-03,2026-08-09,58,West,CA,Online,"$61,120",8,"1,750.49",customer10231@harborline.com,Yes
10234,2019-10-29,2020-12-30,45,West,AZ,In-Store,"$95,620",6,"2,084.18",customer10234@harborline.com,N
10235,2021-06-03,2023-09-11,39,Southeast,GA,In-Store,"$37,555",2,283.59,customer10235@harborline.com,Yes
10236,2025-12-18,2026-08-31,76,Northeast,NJ,Online,"$46,724",7,674.22,customer10236@harborline.com,Yes
10237,2019-03-25,2020-04-19,33,northeast,GA,In-Store,"$66,735",13,"3,758.58",customer10237@harborline.com,No
10238,2019-03-25,2018-07-20,24,West,AZ,Phone,"$44,307",6,621.94,customer10238@harborline.com,Yes
10240,2023-03-24,2023-08-30,42,Southeast,GA,Telephone,"$44,177",8,961.69,customer10240@harborline.com,false
10241,05/08/2021,2022-07-26,58,Southeast,VA,Online,"$63,011",3,-315.40,customer10241@harborline.com,No
10242,2024-10-06,2025-08-08,18,Northeast,PA,IN-STORE,,2,233.45,customer10242@harborline.com,No
10248,28-Nov-2024,2025-05-24,76,Northeast,NJ,In-Store,"$80,417",13,"2,205.45",customer10248@harborline.com,Yes
10250,2022-11-14,2023-07-02,42,West,AZ,Online,"$31,141",3,497.70,customer10250@harborline.com,No
10250,2022-11-14,2023-07-02,42,West,AZ,Online,"$31,141",3,497.70,customer10250@harborline.com,No
10251,2023-06-01,2024-07-05,33,Northeast,CT,Online,"$41,862",3,332.18,customer10251@harborline.com,no
10252,03/07/2022,2023-10-20,21,Northeast,NY,In-Store,"$29,915",3,372.66,customer10252@harborline.com,No
10253,2026-02-08,2026-08-31,51,Southeast,NC,Online,"$58,680",2,325.72,customer10253@harborline.com,true
10258,26-Mar-2025,2026-08-31,43,Northeast,CT,In-Store,"$99,051",7,"1,855.99",customer10258@harborline.com,Yes
10259,2025-03-01,2025-08-08,62,Southeast,GA,In-Store,"$88,350",14,"2,400.00",customer10259@harborline.com,Yes
10260,2020-12-24,2021-06-24,64,West,WA,In-Store,"$111,756",10,"1,760.36",,Yes
10262,2019-03-20,2021-08-25,60,Northeast,MA,Online,"$57,005",6,766.64,customer10262@harborline.com,No
10264,2021-02-20,2022-03-29,49,Northeast,MA,In-Store,"$51,921",3,545.50,customer10264@harborline.com,Yes
10265,2025-07-09,09/07/2025,59,,SC,In-Store,"$72,440",6,798.60,customer10265@harborline.com,Yes
10271,2021-12-24,2022-01-08,38, West,NY,In-Store,"$25,993",4,397.25,customer10271@harborline.com,Yes
10274,2026-02-11,2026-08-31,58,Southeast,NC,In-Store,"$58,121",8,"1,905.67",customer10271@harborline.com,No
10276,2022-05-29,2022-11-14,28,Northeast,CT,In-Store,"$24,976",3,265.27,customer10276@harborline.com,Yes
10277,2025-06-10,2026-08-31,14,Midwest,MI,Online,"$59,309",8,"1,288.18",customer10277@harborline.com,No
10278,2023-03-21,2023-06-02,32,Southeast,SC,In-Store,"$43,406",3,400.33,customer10278@harborline.com,No
10279,2022-01-16,2022-12-22,43,Midwest,MN,Online,"$55,333",2,313.88,customer10279@harborline.com,No
10283,2022-05-30,2023-09-07,-4,Southeast,SC,Online,"$50,890",4,651.73,customer10283@harborline.com,Yes
10284,01-Jul-2024,2026-08-26,21,Northeast,CT,Online,"$31,584",4,547.82,customer10284@harborline.com,No
10286,2020-11-25,2022-01-27,45,West,WA,Online,"$51,519",3,591.21,customer10286@harborline.com,Yes
10287,2022-04-17,2023-05-03,39,Northeast,NJ,Online,"$57,657",6,660.67,customer10287@harborline.com,Yes
10288,2021-05-30,2022-06-30,64,Northeast,PA,Online,"$93,495",6,"1,081.86",customer10288@harborline.com,Yes
10289,2025-01-29,2025-03-07,65,West,CA,Online,"$72,398",6,,customer10289@harborline.com,No
10291,2023-07-22,2025-08-12,18,Northeast,NJ,Online,"$19,000",2,219.32,customer10291@harborline.com,Yes
10294,2025-10-20,2026-04-26,37,West,CO,Phone,"$50,466",3,475.43,customer10294@harborline.com,Yes
10295,2023-12-30,2024-05-25,74,West,OR,P,"$65,359",8,"1,794.57",customer10295@harborline.com,Yes
10298,2025-10-20,2026-08-31,30,West,WA,Online,"$62,506",8,"1,157.98",customer10298@harborline.com,Yes
10300,2022-09-28,2025-01-16,36,Southeast,FL,Online,"$52,937",6,871.80,customer10300@harborline.com,Yes
10301,2020-07-18,2021-02-01,52,Southeast,NC,Online,"$64,815",4,620.37,customer10301@harborline.com,Yes
10303,2023-09-28,2024-01-02,33,Midwest,IL,Online,"$32,284",4,385.09,customer10303@harborline.com,No
10305,2019-04-19,2021-04-29,52,Northeast,NY,Phone,"$44,585",11,"1,547.43",customer10305@harborline.com,Yes
10307,2022-01-29,02/14/2022,51,Northeast,PA,In-Store,"$63,266",4,588.93,customer10307@harborline.com,No
10308,2024-09-02,2026-08-14,35,Midwest,MI,In-Store,"$73,710",12,"3,067.79",customer10308@harborline.com,No
10310,2025-08-04,2026-08-31,64,Northeast,PA,Online,"$58,732",7,"1,028.19",customer10310@harborline.com,Yes
10311,2025-01-10,2026-08-31,43,Southeast,SC,In-Store,"$104,124",6,"1,146.23",customer10311@harborline.com,Yes
10312,2022-11-06,2024-12-17,28,West,CA,Online,"$34,360",5,445.11,customer10312@harborline.com,yes
10315,2023-05-19,2025-08-07,18,Southeast,SC,In-Store,"$27,908",3,288.19,customer10315@harborline.com,No
10316,2021-08-25,2023-02-04,62,West,AZ,Online,"$101,176",9,"3,834.89",customer10316@harborline.com,Yes
10317,2022-09-08,2024-02-04,18,Midwest,WI,Online,"$26,893",3,316.39,customer10317@harborline.com,No
10319,2019-08-12,2021-10-10,57,Midwest,IL,In-Store,-999,6,"1,490.40",customer10319@harborline.com,Yes
10320,2019-02-28,2020-09-20,39,Midwest,WI,Online,"$32,267",9,"1,116.90",customer10320@harborline.com,Yes
10321,2023-09-11,2027-03-14,54,Northeast,PA,In-Store,"$53,677",7,871.79,customer10321@harborline.com,Yes
10323,2020-12-01,2022-03-08,32,Northeast,MA,Online,"$56,342",7,"1,461.93",customer10323@harborline.com,1
10325,2022-09-25,12-Jul-2024,unknown,Southeast,FL,Online,"$59,994",7,849.74,customer10325@harborline.com,No
10326,2025-01-06,2026-08-31,36,Midwest,MI,In-Store,"$80,935",9,"1,791.87",customer10326@harborline.com,Yes
10327,2019-03-06,2021-05-27,36,Northeast,MA,Online,"$42,910",4,808.92,customer10327@harborline.com,Yes
10328,2022-07-30,03-Jun-2023,43,Midwest,OH,Online,"$84,382",7,"1,322.09",customer10328@harborline.com,No
10330,2022-03-20,2022-08-14,18,Midwest,WI,In-Store,$0,5,483.90,customer10330@harborline.com,Y
10331,2024-06-28,2025-06-21,47,Northeast,PA,O,"$69,749",6,788.22,customer10331@harborline.com,Yes
10332,2019-06-28,2021-09-11,34,Northeast,NJ,Online,"$39,959",9,"1,053.66",customer10332@harborline.com,Yes
10333,2024-09-18,2026-08-31,39,Midwest,OH,Online,"$45,059",5,731.67,customer10333@harborline.com,Yes
10336,2025-03-19,2026-06-24,19,Northeast,NY,In-Store,"$38,002",2,278.23,customer10336@harborline.com,No
10337,2025-03-22,2025-06-09,35,Northeast,PA,Online,"$43,670",4,422.40,customer10337@harborline.com,No
10338,2019-08-09,2021-03-10,35,Midwest,MI,In-Store,"$37,135",5,557.17,customer10338@harborline.com,No
10341,2022-09-28,2024-01-21,56,Midwest,MI,Online,"$72,329",2,341.71,customer10341@harborline.com,1
10344,2020-05-19,2021-04-17,50,Northeast,MA,In-Store,"$41,871",-7,380.88,customer10344@harborline.com,Yes
10345,2024-09-16,2025-12-09,127,Southeast,GA,web,"$92,501",7,"2,122.09",customer10345@harborline.com,Yes
10346,2022-10-31,2023-05-02,54,West,AZ,Online,"$73,278",8,"1,297.49",customer10346@harborline.com,Yes
10347,2025-06-18,2026-08-31,27,Midwest,OH,In-Store,"$37,077",5,591.97,customer10347@harborline.com,Yes
10348,2022-11-05,06/19/2024,26,Northeast,PA,Phone,"$34,206",2,208.24,customer10348@harborline.com,No
10349,2022-06-02,10/01/2022,25,Northeast,MA,Online,"$42,451",3,362.98,customer10349@harborline.com,Yes
10352,2025-05-03,31-Aug-2026,38,midwest,WA,Online,"$25,466",2,255.87,customer10352@harborline.com,No
10354,2019-07-06,2020-10-12,47,Northeast,PA,In-Store,"$55,379",5,999.19,customer10354@harborline.com,Yes
10359,2021-08-13,2024-01-23,80,Southeast,GA,Online,"$98,191",3,520.04,customer10359@harborline.com,Yes
10361,2019-02-08,2020-09-26,35,Southeast,GA,Online,"$62,137",7,"1,756.07",customer10361@harborline.com,Yes
10362,2020-12-01,2022-09-02,32,West,WA,in-store,"$33,289",7,861.58,customer10362@harborline.com,Yes
10366,15-Jun-2024,2024-07-15,35,West,AZ,Online,"$38,587",4,709.45,customer10366@harborline.com,No
10369,2023-12-02,2025-01-05,43,Midwest,IL,Online,"$78,210",7,"1,542.81",customer10369@harborline.com,Yes
10370,2025-11-19,2026-08-31,50,Southeast,VA,In-Store,"$64,410",5,645.47,customer10370@@harborline.com,Yes
10371,01-May-2019,2020-08-30,45,Northeast,CT,Online,"$46,235",3,591.34,customer10371@harborline.com,Yes
10372,2020-04-30,2021-07-27,73,Northeast,MA,Online,"$62,978",3,543.62,customer10372@harborline.com,Yes
10375,07/24/2019,2020-07-20,31,Southeast,FL,In-Store,"$55,604",2,226.24,customer10375@harborline.com,Yes
10377,2021-06-27,2023-02-11,63,Southeast,SC,In-Store,"$98,731",8,"2,152.51",customer10377@harborline.com,Yes
10379,2021-08-30,2023-10-10,57,Midwest,OH,In-Store,"$78,766",9,"2,456.35",customer10379@harborline.com,Yes
10380,18-May-2020,2020-05-27,41,Northeast,NY,Online,"$31,760",3,332.98,customer10380@harborline.com,N
10381,2022-08-02,2023-11-30,51,Northeast,CT,Online,"$52,157",2,373.26,customer10381@harborline.com,Yes
10383,2021-03-27,2023-08-07,45,Southeast,GA,In-Store,"$36,216",2,223.22,customer10383@harborline.com,0
10386,08-Oct-2019,2021-11-17,48,Midwest,OH,Online,"$59,940",6,904.85,customer10386@harborline.com,No
10389,2021-11-27,2023-02-10,35,Northeast,NJ,In-Store,"$58,384",8,"1,125.24",customer10389@harborline.com,Yes
10394,2024-10-23,2025-12-06,45,Southeast,FL,In-Store,"$86,719",-1,"1,191.08",customer10394@harborline.com,Yes
10395,12/19/2025,2026-08-31,44,Northeast,NJ,In-Store,"$38,632",2,388.22,customer10395@harborline.com,Yes
10398,03/27/2019,2019-11-19,28,Southeast,VA,Online,"$39,500",2,301.64,customer10398@harborline.com,No
10399,2024-07-01,2025-10-13,42,Northeast,NY,Phone,"$29,147",4,359.57,customer10399@harborline.com,No
